,0
0,-0.7749759
1,-1.0326797
2,-1.1684983
3,-1.2554924
4,-1.6564342
5,-1.7924856
6,-1.927122
7,-2.209061
8,-2.6214077
9,-3.0822577
10,-3.2205794
11,-3.2303188
12,-3.1841404
13,-3.1044817
14,-3.0120974
15,-2.9212863
16,-2.8375647
17,-2.7605703
18,-2.6859097
19,-2.6048427
20,-2.5007005
21,-2.3369849
22,-2.006398
23,-1.8875529
24,-1.9507569
25,-0.75440836
26,-1.0444303
27,-1.1965535
28,-1.2774543
29,-1.5900322
30,-1.7529981
31,-1.8984296
32,-2.1555052
33,-2.5351353
34,-2.9594479
35,-3.1328192
36,-3.1696594
37,-3.134493
38,-3.0565722
39,-2.961521
40,-2.866822
41,-2.7795084
42,-2.6997817
43,-2.6235397
44,-2.542387
45,-2.4403253
46,-2.2826533
47,-1.9686815
48,-1.8558425
49,-1.9162557
50,-0.73334277
51,-1.0445417
52,-1.2081108
53,-1.2902204
54,-1.4269958
55,-1.7205307
56,-1.8755679
57,-2.1201441
58,-2.4790685
59,-2.8773677
60,-3.0720935
61,-3.128013
62,-3.1015952
63,-3.0261333
64,-2.9302955
65,-2.8336983
66,-2.744499
67,-2.6633484
68,-2.5863664
69,-2.5053883
70,-2.4048407
71,-2.2511182
72,-1.9475216
73,-1.8383329
74,-1.897202
75,-0.7109692
76,-1.0426933
77,-1.2182242
78,-1.2998805
79,-1.3705473
80,-1.677318
81,-1.8397461
82,-2.071379
83,-2.4072332
84,-2.7791317
85,-2.9975317
86,-3.0779846
87,-3.0645664
88,-2.9936693
89,-2.8975823
90,-2.7988346
91,-2.7072377
92,-2.624132
93,-2.5459626
94,-2.4648802
95,-2.3658407
96,-2.2165287
97,-1.9246457
98,-1.819398
99,-1.8762778
100,-0.7002526
101,-1.0334656
102,-1.2101544
103,-1.2928458
104,-1.3616267
105,-1.6387341
106,-1.8469341
107,-2.0821488
108,-2.4163077
109,-2.7828507
110,-2.9998376
111,-3.0791895
112,-3.0645626
113,-2.9934313
114,-2.8977818
115,-2.7995982
116,-2.7084825
117,-2.6257558
118,-2.547878
119,-2.4669824
120,-2.3679552
121,-2.2182896
122,-1.9250153
123,-1.818811
124,-1.8760618
125,-0.7168294
126,-1.0288938
127,-1.194614
128,-1.2779535
129,-1.3539301
130,-1.4526571
131,-1.9032167
132,-2.1581528
133,-2.5085952
134,-2.886627
135,-3.0785766
136,-3.1297672
137,-3.0981731
138,-3.0211813
139,-2.9264324
140,-2.8317819
141,-2.7446265
142,-2.66541
143,-2.590154
144,-2.510546
145,-2.4107454
146,-2.2565668
147,-1.9494041
148,-1.837854
149,-1.8981591
150,-0.77308047
151,-1.0542033
152,-1.2039992
153,-1.287851
154,-1.3720902
155,-1.4751511
156,-1.9564859
157,-2.226536
158,-2.5826705
159,-2.9664617
160,-3.1338456
161,-3.1573486
162,-3.1101346
163,-3.0290103
164,-2.9370136
165,-2.8479724
166,-2.767052
167,-2.6936274
168,-2.6231072
169,-2.5466747
170,-2.447849
171,-2.2910578
172,-1.9729347
173,-1.8578037
174,-1.921415
175,-0.84253967
176,-1.0811844
177,-1.21113
178,-1.2983872
179,-1.3943549
180,-1.5059967
181,-2.0046675
182,-2.2832153
183,-2.6323864
184,-3.014932
